R,N,M,a,I,Train Ac,Train avgAc,Test Ac,Test avgAc
1, 3, 2048, 0.3, -1, 84.94, 87.15, 75.75, 68.11
2, 3, 2048, 0.3, -1, 84.94, 87.15, 75.75, 68.11
3, 3, 2048, 0.3, -1, 84.94, 87.15, 75.75, 68.11
4, 3, 2048, 0.3, -1, 84.94, 87.15, 75.75, 68.11
5, 3, 2048, 0.3, -1, 84.94, 87.15, 75.75, 68.11
6, 3, 2048, 0.3, -1, 84.94, 87.15, 75.75, 68.11
7, 3, 2048, 0.3, -1, 84.94, 87.15, 75.75, 68.11
8, 3, 2048, 0.3, -1, 84.94, 87.15, 75.75, 68.11
9, 3, 2048, 0.3, -1, 84.94, 87.15, 75.75, 68.11
10, 3, 2048, 0.3, -1, 84.94, 87.15, 75.75, 68.11
11, 3, 2048, 0.3, -1, 84.94, 87.15, 75.75, 68.11
12, 3, 2048, 0.3, -1, 84.94, 87.15, 75.75, 68.11
13, 3, 2048, 0.3, -1, 84.94, 87.15, 75.75, 68.11
14, 3, 2048, 0.3, -1, 84.94, 87.15, 75.75, 68.11
15, 3, 2048, 0.3, -1, 84.94, 87.15, 75.75, 68.11
16, 3, 2048, 0.3, -1, 84.94, 87.15, 75.75, 68.11
17, 3, 2048, 0.3, -1, 84.94, 87.15, 75.75, 68.11
18, 3, 2048, 0.3, -1, 84.94, 87.15, 75.75, 68.11
19, 3, 2048, 0.3, -1, 84.94, 87.15, 75.75, 68.11
20, 3, 2048, 0.3, -1, 84.94, 87.15, 75.75, 68.11
21, 3, 2048, 0.3, -1, 85.2, 88.24, 77.08, 66.02
22, 3, 2048, 0.3, -1, 85.5, 87.91, 76.98, 65.98
23, 3, 2048, 0.3, -1, 84.52, 88, 75.19, 64.5
24, 3, 2048, 0.3, -1, 84.4, 87.72, 75.28, 65.97
25, 3, 2048, 0.3, -1, 84.45, 87.64, 75.57, 65.9
26, 3, 2048, 0.3, -1, 84.57, 87.84, 76.42, 65.61
27, 3, 2048, 0.3, -1, 85.15, 87.8, 75.66, 65.15
28, 3, 2048, 0.3, -1, 84.82, 88.27, 75.09, 66.29
29, 3, 2048, 0.3, -1, 85.15, 87.62, 77.08, 67.22
30, 3, 2048, 0.3, -1, 84.08, 87.18, 75, 66.22
31, 3, 2048, 0.3, -1, 84.24, 87.94, 74.81, 63.95
32, 3, 2048, 0.3, -1, 85.24, 87.92, 76.13, 65.89
33, 3, 2048, 0.3, -1, 84.1, 87.09, 74.72, 65.47
34, 3, 2048, 0.3, -1, 84.45, 88.58, 75.75, 67.69
35, 3, 2048, 0.3, -1, 84.85, 87.59, 75.94, 65.24
36, 3, 2048, 0.3, -1, 84.96, 88.35, 74.43, 66.53
37, 3, 2048, 0.3, -1, 84.71, 87.8, 76.23, 67.03
38, 3, 2048, 0.3, -1, 85.17, 87.63, 76.6, 65.32
39, 3, 2048, 0.3, -1, 84.33, 87.51, 75.09, 64.42
40, 3, 2048, 0.3, -1, 84.57, 88.19, 75.28, 66.51
41, 3, 2048, 0.3, -1, 85.13, 88.88, 75.94, 66.78
42, 3, 2048, 0.3, -1, 83.57, 86.81, 74.15, 66.16
43, 3, 2048, 0.3, -1, 85.1, 87.96, 76.89, 67.66
44, 3, 2048, 0.3, -1, 84.19, 88.27, 74.62, 65.33
45, 3, 2048, 0.3, -1, 84.92, 88.18, 76.89, 67.08
46, 3, 2048, 0.3, -1, 84.92, 88.88, 76.6, 66.84
47, 3, 2048, 0.3, -1, 85.96, 88.37, 77.08, 67.76
48, 3, 2048, 0.3, -1, 83.01, 86.86, 74.81, 65.72
49, 3, 2048, 0.3, -1, 83.82, 86.76, 75.75, 66.34
50, 3, 2048, 0.3, -1, 84.36, 87.65, 76.6, 65.9
